dataset,rule,a,source,output
mk01,max,1.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=max_a=1.5/mk01/seed_102.json
mk01,max,2.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=max_a=2.0/mk01/seed_102.json
mk01,max,2.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=max_a=2.5/mk01/seed_102.json
mk01,max,3.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=max_a=3.0/mk01/seed_102.json
mk01,min,1.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=min_a=1.5/mk01/seed_102.json
mk01,min,2.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=min_a=2.0/mk01/seed_102.json
mk01,min,2.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=min_a=2.5/mk01/seed_102.json
mk01,min,3.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=min_a=3.0/mk01/seed_102.json
mk01,avg,1.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=avg_a=1.5/mk01/seed_102.json
mk01,avg,2.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=avg_a=2.0/mk01/seed_102.json
mk01,avg,2.5,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=avg_a=2.5/mk01/seed_102.json
mk01,avg,3.0,experiments/prepared_instances/mk01/a=1.5-2/mk01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk01/due=avg_a=3.0/mk01/seed_102.json
mk02,max,1.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=max_a=1.5/mk02/seed_102.json
mk02,max,2.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=max_a=2.0/mk02/seed_102.json
mk02,max,2.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=max_a=2.5/mk02/seed_102.json
mk02,max,3.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=max_a=3.0/mk02/seed_102.json
mk02,min,1.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=min_a=1.5/mk02/seed_102.json
mk02,min,2.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=min_a=2.0/mk02/seed_102.json
mk02,min,2.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=min_a=2.5/mk02/seed_102.json
mk02,min,3.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=min_a=3.0/mk02/seed_102.json
mk02,avg,1.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=avg_a=1.5/mk02/seed_102.json
mk02,avg,2.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=avg_a=2.0/mk02/seed_102.json
mk02,avg,2.5,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=avg_a=2.5/mk02/seed_102.json
mk02,avg,3.0,experiments/prepared_instances/mk02/a=0.7-1.2/mk02/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/mk02/due=avg_a=3.0/mk02/seed_102.json
mk03,max,1.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=max_a=1.5/mk03/seed_102.json
mk03,max,2.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=max_a=2.0/mk03/seed_102.json
mk03,max,2.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=max_a=2.5/mk03/seed_102.json
mk03,max,3.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=max_a=3.0/mk03/seed_102.json
mk03,min,1.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=min_a=1.5/mk03/seed_102.json
mk03,min,2.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=min_a=2.0/mk03/seed_102.json
mk03,min,2.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=min_a=2.5/mk03/seed_102.json
mk03,min,3.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=min_a=3.0/mk03/seed_102.json
mk03,avg,1.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=avg_a=1.5/mk03/seed_102.json
mk03,avg,2.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=avg_a=2.0/mk03/seed_102.json
mk03,avg,2.5,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=avg_a=2.5/mk03/seed_102.json
mk03,avg,3.0,experiments/prepared_instances/mk03/a=1-1.5/mk03/seed_9.json,experiments/prepared_instances/fixed_due_15datasets/mk03/due=avg_a=3.0/mk03/seed_102.json
mk04,max,1.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=max_a=1.5/mk04/seed_102.json
mk04,max,2.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=max_a=2.0/mk04/seed_102.json
mk04,max,2.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=max_a=2.5/mk04/seed_102.json
mk04,max,3.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=max_a=3.0/mk04/seed_102.json
mk04,min,1.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=min_a=1.5/mk04/seed_102.json
mk04,min,2.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=min_a=2.0/mk04/seed_102.json
mk04,min,2.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=min_a=2.5/mk04/seed_102.json
mk04,min,3.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=min_a=3.0/mk04/seed_102.json
mk04,avg,1.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=avg_a=1.5/mk04/seed_102.json
mk04,avg,2.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=avg_a=2.0/mk04/seed_102.json
mk04,avg,2.5,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=avg_a=2.5/mk04/seed_102.json
mk04,avg,3.0,experiments/prepared_instances/mk04/a=1.7-2.2/mk04/seed_7.json,experiments/prepared_instances/fixed_due_15datasets/mk04/due=avg_a=3.0/mk04/seed_102.json
mk05,max,1.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=max_a=1.5/mk05/seed_102.json
mk05,max,2.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=max_a=2.0/mk05/seed_102.json
mk05,max,2.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=max_a=2.5/mk05/seed_102.json
mk05,max,3.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=max_a=3.0/mk05/seed_102.json
mk05,min,1.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=min_a=1.5/mk05/seed_102.json
mk05,min,2.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=min_a=2.0/mk05/seed_102.json
mk05,min,2.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=min_a=2.5/mk05/seed_102.json
mk05,min,3.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=min_a=3.0/mk05/seed_102.json
mk05,avg,1.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=avg_a=1.5/mk05/seed_102.json
mk05,avg,2.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=avg_a=2.0/mk05/seed_102.json
mk05,avg,2.5,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=avg_a=2.5/mk05/seed_102.json
mk05,avg,3.0,experiments/prepared_instances/mk05/a=0.5-1/mk05/seed_1.json,experiments/prepared_instances/fixed_due_15datasets/mk05/due=avg_a=3.0/mk05/seed_102.json
mk06,max,1.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=max_a=1.5/mk06/seed_102.json
mk06,max,2.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=max_a=2.0/mk06/seed_102.json
mk06,max,2.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=max_a=2.5/mk06/seed_102.json
mk06,max,3.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=max_a=3.0/mk06/seed_102.json
mk06,min,1.5,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=min_a=1.5/mk06/seed_102.json
mk06,min,2.0,experiments/prepared_instances/mk06/a=0.6-1.1/mk06/seed_106.json,experiments/prepared_instances/fixed_due_15datasets/mk06/due=min_a=2.0/mk06/seed_102.json
